,Year,Status,Value,Close
0,2007,START,0,6.772
1,2008,GIAM,-24.808033077377445,5.092
2,2009,GIAM,-54.53652788688138,2.315
3,2010,TANG,96.67386609071275,4.553
4,2011,GIAM,-5.446958049637606,4.305
5,2012,GIAM,-55.84204413472706,1.901
6,2013,TANG,71.17306680694368,3.2539999999999996
7,2014,TANG,101.259987707437,6.5489999999999995
8,2015,TANG,52.38967781340664,9.98
9,2016,GIAM,-16.583166332665343,8.325
10,2017,TANG,81.24924924924926,15.089
11,2018,TANG,73.6960699847571,26.209
12,2019,GIAM,-9.599755809073212,23.693
13,2020,TANG,1.2957413582070594,24.0
14,2021,status,9.458525191943167,close
